nombredd,horas_mujeres,horas_hombres,n_mujeres,n_hombres,brecha,rango
AMAZONAS,109.36841814159291,95.82786166326878,16272,15696,13.540556478324135,Más de 38 hrs/sem
ANCASH,128.44020379448077,99.42429108796294,36720,31104,29.015912706517824,Más de 38 hrs/sem
APURIMAC,112.32872161596119,92.90542211328975,12096,12240,19.42329950267144,Más de 38 hrs/sem
AREQUIPA,123.41146974439228,88.57711287133486,61344,55296,34.834356873057416,Más de 38 hrs/sem
AYACUCHO,118.42108756154998,92.23740840660803,24912,20016,26.183679154941956,Más de 38 hrs/sem
CAJAMARCA,116.97150338214254,95.5132304848571,46371,42198,21.45827289728544,Más de 38 hrs/sem
CALLAO,110.1411156269979,90.02774265800215,21898,22621,20.113372968995748,Más de 38 hrs/sem
CUSCO,127.53436779468625,101.64297610062893,37588,33125,25.89139169405732,Más de 38 hrs/sem
HUANCAVELICA,100.59037247474745,93.94745701058199,12672,10080,6.642915464165469,Más de 38 hrs/sem
HUANUCO,121.21849195003232,98.43676123345958,39172,28516,22.78173071657274,Más de 38 hrs/sem
ICA,114.45059205520289,87.38430148588773,31979,27234,27.066290569315157,Más de 38 hrs/sem
JUNIN,105.3702181582708,88.58518356643354,44784,41184,16.78503459183726,Más de 38 hrs/sem
LA LIBERTAD,113.60525093040981,88.67483552631577,59472,54720,24.930415404094035,Más de 38 hrs/sem
LAMBAYEQUE,111.84412369006603,93.3203796709656,37152,32256,18.523744019100434,Más de 38 hrs/sem
LIMA,114.91554817481602,87.69801596043082,263599,226978,27.2175322143852,Más de 38 hrs/sem
LORETO,115.69254670002105,96.19783029434534,42773,40474,19.494716405675717,Más de 38 hrs/sem
MADRE DE DIOS,139.49908649398705,102.91828861300226,8648,7491,36.58079788098479,Más de 38 hrs/sem
MOQUEGUA,108.19197646945368,85.91851325757575,6913,6336,22.273463211877925,Más de 38 hrs/sem
PASCO,126.40090784143518,98.25323870792062,9216,9793,28.14766913351457,Más de 38 hrs/sem
PIURA,115.10234018528496,91.63602638224349,64945,60192,23.466313803041473,Más de 38 hrs/sem
PUNO,112.01278935185182,89.9190815377293,41760,30816,22.093707814122524,Más de 38 hrs/sem
SAN MARTIN,105.25625946069628,90.60501170917507,37876,36581,14.651247751521211,Más de 38 hrs/sem
TACNA,118.06242067207656,84.61648932198327,12816,8928,33.44593135009329,Más de 38 hrs/sem
TUMBES,114.54088804713804,95.75906793272864,7920,7056,18.7818201144094,Más de 38 hrs/sem
UCAYALI,98.88612739164596,90.91062343458802,31394,28081,7.9755039570579385,Más de 38 hrs/sem
