departamento,sexo,horas_total,personas,horas_prom
Amazonas,Hombre,53994499.89930518,60505.2902413958,892.3930400777394
Amazonas,Mujer,516596700.1163136,468056.35884533485,1103.70618912373
Ancash,Hombre,43019389.450237006,36607.163898265484,1175.163133909845
Ancash,Mujer,1846313638.7789087,1334029.7267722632,1384.0123662357482
Apurímac,Hombre,22817025.059242863,31010.90388894944,735.7742663983935
Apurímac,Mujer,532227048.91388065,467716.4814383852,1137.9266500874714
Arequipa,Hombre,36769218.299314566,31895.058529124948,1152.81864950142
Arequipa,Mujer,2584104390.419442,1984035.1900676189,1302.4488695340995
Ayacucho,Hombre,40864659.47946077,35340.72119701391,1156.3051939900308
Ayacucho,Mujer,1040108430.3725886,841873.7572417124,1235.4684077341547
Cajamarca,Hombre,65027089.31303806,42438.04745571906,1532.282779524411
Cajamarca,Mujer,2270639449.960037,1658320.88507981,1369.2400972509963
Callao,Hombre,15616703.939120129,11960.68619131823,1305.6695652173914
Callao,Mujer,1308739531.1256433,1009502.7157406348,1296.4200201932786
Cusco,Hombre,99942174.95017345,98370.41381124692,1015.9779864496903
Cusco,Mujer,1568925143.2142336,1301226.3901205317,1205.7280386612088
Huancavelica,Hombre,3703194.1869509663,4411.839204168327,839.3765084303549
Huancavelica,Mujer,618260179.1708184,494759.8497727578,1249.6167169886241
Huánuco,Hombre,94032037.3944527,91539.28503866163,1027.2315034439941
Huánuco,Mujer,1058625144.220599,870722.8242509793,1215.8003841592858
Ica,Hombre,17385928.177337565,21449.67493581937,810.5450655713365
Ica,Mujer,1370051359.4305832,1058133.5381578424,1294.7811500387506
Junín,Hombre,54160050.110447444,45656.31194039593,1186.255477252589
Junín,Mujer,1652958466.5903652,1347905.409388707,1226.316368401551
La Libertad,Hombre,82189331.04836988,74578.09886794095,1102.0572030658293
La Libertad,Mujer,2981724206.814451,2026706.4454107718,1471.2166202294368
Lambayeque,Hombre,43445082.81236001,41390.430286151306,1049.6407626594828
Lambayeque,Mujer,1631849991.5106044,1182281.635243263,1380.2548757131285
Lima,Hombre,146622149.97155643,174612.6735889187,839.6993583452088
Lima,Mujer,14149471188.429617,11143118.434063192,1269.7945617428206
Loreto,Hombre,35172470.30531503,41509.45651395489,847.3363242780727
Loreto,Mujer,1393722352.064907,906946.7490015839,1536.7190561068685
Madre de Dios,Hombre,2818758.156137895,3914.3740235808027,720.1044507135123
Madre de Dios,Mujer,281412713.83773935,235389.16251942987,1195.521114165613
Moquegua,Hombre,11678757.360500976,15351.075835330626,760.7777777777777
Moquegua,Mujer,260319710.5346843,252892.17862482904,1029.370350440431
Pasco,Hombre,5187711.1185836475,9885.705579222535,524.7689279242765
Pasco,Mujer,440562765.74525404,317190.44098116626,1388.953476600555
Piura,Hombre,37736297.32280182,37934.755048080646,994.768445847949
Piura,Mujer,3097986270.99447,2062223.854355189,1502.2550846998813
Puno,Hombre,131697895.82508038,160420.21217898317,820.9557513746654
Puno,Mujer,1456888380.0408149,1538013.0271088206,947.2536021229254
San Martín,Hombre,20404033.282557465,28015.2673654257,728.3183492918779
San Martín,Mujer,901112199.3700387,848301.9008811561,1062.2541319712086
Tacna,Hombre,2884558.3870398942,1807.367410425999,1596.0
Tacna,Mujer,287126747.9599859,293794.41854374803,977.3049787099027
Tumbes,Hombre,21340845.825088434,15630.068950375902,1365.3711888823873
Tumbes,Mujer,398449983.7557601,287500.9269014506,1385.9085188004995
Ucayali,Hombre,11579680.129578687,10796.124764619737,1072.5774647887324
Ucayali,Mujer,1040878659.1533282,689091.4343932105,1510.5087760521783
