codigo,actividad,mujeres_hrs_sem,hombres_hrs_sem,diferencia
922,Dormir,55.031106216348505,53.89919288420359,1.1319133321449115
711,"Convivencia con familia, amigos u otras personas",26.215198237885463,25.218662493823093,0.9965357440623706
921,Comer y beber,12.918281938325991,13.097897106462415,-0.17961516813642397
82,Ver televisión o videos exclusivamente,10.079809104258443,10.059572832592105,0.020236271666338013
111,Trabajo asalariado,9.581497797356828,16.213254268928786,-6.631756471571958
913,"Descansar, orar o meditar",9.519432207537935,9.91168396200516,-0.3922517544672246
311,Cocinar y preparar alimentos y bebidas,9.190577581987274,1.7803766540383241,7.410200927948949
113,Trabajo por cuenta propia,7.736196769456681,15.033245483994948,-7.297048714538267
84,"Utilizar computadora, tableta o celular (video o audio, Internet, descarga de ar",5.77129221732746,7.400181189260419,-1.628888971932959
911,Limpieza y arreglo personal,5.440332843857073,5.756327897655521,-0.3159950537984484
83,Escuchar radio u otros medios de audio exclusivamente,4.118037200195791,4.055207818591116,0.06282938160467477
321,Limpiar la vivienda,4.115271659324523,1.7021358370394775,2.4131358222850454
910,Otras actividades personales (relaciones sexuales entre otras),3.3767498776309344,3.5065612474606054,-0.129811369829671
4115,Estar pendiente de miembros del hogar de 0 a 14 años,3.36079295154185,0.7607752704112446,2.6000176811306055
313,Lavar la vajilla y limpiar el lugar donde se cocinó,2.888179148311307,0.6026739142370834,2.2855052340742237
331,Lavar y secar ropa a mano o a máquina,2.860034263338228,0.7868829956624388,2.0731512676757893
611,Asistir a clases en el sistema educativo,2.5093489965736664,2.995442815571295,-0.4860938189976287
14,Traslados de ida y vuelta al trabajo,1.8996818404307392,3.3946356997748866,-1.4949538593441474
361,Comprar comida y otros bienes para el hogar,1.87493881546745,0.9856970295942459,0.8892417858732041
613,"Estudiar, hacer tareas e investigaciones",1.5858786098874202,1.7384285949596443,-0.15254998507222406
4111,Dar de comer a miembros del hogar de 0 a 14 años,1.5514439549681838,0.1067094932191292,1.4447344617490545
