codigo,actividad,mujeres_hrs_sem,hombres_hrs_sem,diferencia
TRAB_NO_REM_VOL,Trabajo no remunerado total,49.582220709053196,21.45244905914828,28.129771649904917
ACTIV_CONVIV,Convivencia social,21.12479060411048,22.779734812567167,-1.654944208456687
PREP_SERV_ALIM,Preparar alimentos y bebidas,13.386804721087344,3.165957603725477,10.220847117361867
LIMP_VIV,Limpiar la vivienda,9.154441151076572,3.8008412879027307,5.353599863173841
CUID_INT_0A5_CON_CP,Cuidado de niños 0-5 años con CP,7.218038309879213,2.423242092841941,4.7947962170372715
CUID_INT_6A14_CON_CP,Cuidado de niños 6-14 años con CP,5.486008082102769,2.5445908928082264,2.9414171892945427
ACTIV_ESTUD,Actividades de estudio,4.11820253322296,4.152909475946647,-0.034706942723686574
LIMP_ROP,"Lavar, planchar y cuidar ropa",3.9403686791814625,1.1451956507996701,2.795173028381792
CUID_INT_0A5_SIN_CP,Cuidado de niños 0-5 años sin CP,3.904031260291774,1.3750057947194299,2.529025465572344
CUID_INT_6A14_SIN_CP,Cuidado de niños 6-14 años sin CP,2.516176666933696,1.2975693785953595,1.2186072883383365
CUID_ESP_INT_HOG_CON_CP,Cuidado especializado intrahogar con CP,2.370173213347931,1.1184177255199441,1.251755487827987
CUID_INT_15A59,Cuidado de personas de 15-59 años,2.0405725119495846,2.017942558526666,0.022629953422918625
TRAB_NO_REM_OTROS_HOG,Trabajo no remunerado en otros hogares,2.0278258431466796,1.2229945002844678,0.8048313428622118
COMPRAS_HOG,Compras del hogar,1.7330160128886394,1.275632151210569,0.4573838616780703
CUID_ESP_INT_HOG_SIN_CP,Cuidado especializado intrahogar sin CP,1.230680391999786,0.5758976547190086,0.6547827372807774
CUID_INT_60MAS_CON_CP,Cuidado de adultos mayores 60+ con CP,1.0127359876098159,0.9014671176011967,0.11126887000861918
CUID_PER_OTROS_HOG,Cuidado de personas en otros hogares,0.9937069970715727,0.4373717259835219,0.5563352710880508
ORG_SUP_HOG,Organización y supervisión del hogar,0.7738119397936726,0.7983737910108074,-0.024561851217134834
CUID_INT_60MAS_SIN_CP,Cuidado de adultos mayores 60+ sin CP,0.4499109900575893,0.396810270350001,0.053100719707588284
PAGOS_TRAM_HOG,Pagos y trámites del hogar,0.3173529333226514,0.2983411298649296,0.0190118034577218
CUID_ESP_DISC_ENF,Cuidado de personas con discapacidad/enfermedad,0.2605383321316991,0.15306487978591143,0.10747345234578765
TRAB_NO_REM_NO_FAM,Trabajo no remunerado para no familiares,0.2552765093860984,0.4042448953789747,-0.14896838599287626
MANT_VIV,Mantenimiento de la vivienda,0.12107132366685344,0.7394525570516464,-0.6183812333847929
